certamen;origen;fecha;anio;cerveceria;cerveza_ganadora;estilo;estilo_corregido;estilo_limpio;estilo_cliente;premio;medalla_base;tipo_premio;subcategoria;ciudad;pais
Aro Rojo - Mexico;;2025-07;2025;Bikihr;Red Ipa;American Amber/Red Ale;American Amber/Red Ale;Amber/Red Ale;Amber/Red Ale;Silver Medal;Plata;Beer;;Villa Ramallo;Argentina
Aro Rojo - Mexico;;2025-07;2025;Cerveza Bruer;Ensenada Sunset;American Amber/Red Ale;American Amber/Red Ale;Amber/Red Ale;Amber/Red Ale;Gold Medal;Oro;Beer;;Ensenada;México
Aro Rojo - Mexico;;2025-07;2025;JP BEER;JP BEER - AMBER ALE;American Amber/Red Ale;American Amber/Red Ale;Amber/Red Ale;Amber/Red Ale;Bronce Medal;Bronce;Beer;;Bogotá;Colombia
Aro Rojo - Mexico;;2025-07;2025;Vieja Estación;Black Ipa;American Black Ale;American Black Ale;Black Ale;Black Ale;Silver Medal;Plata;Beer;;Necochea;Argentina
Aro Rojo - Mexico;;2025-07;2025;Cerveza Bruer;Edison;American Cream Ale;American Cream Ale;Cream Ale;Cream Ale;Gold Medal;Oro;Beer;;Ensenada;México
Aro Rojo - Mexico;;2025-07;2025;El Gardenia;BERLIN ALE;American Cream Ale;American Cream Ale;Cream Ale;Cream Ale;Silver Medal;Plata;Beer;;CHIHUAHUA;México
Aro Rojo - Mexico;;2025-07;2025;3 Postales;Lucio;American Fruit Beer;American Fruit Beer;American Fruit Beer;Fruit Ale;Silver Medal;Plata;Beer;;Oxapampa;Perú
Aro Rojo - Mexico;;2025-07;2025;Cerveza Fauna;Orange Bloom;American Fruit Beer;American Fruit Beer;American Fruit Beer;Fruit Ale;Bronce Medal;Bronce;Beer;;Mexicali;México
Aro Rojo - Mexico;;2025-07;2025;tarzan bier;Beso de Invierno;American Fruit Beer;American Fruit Beer;American Fruit Beer;Fruit Ale;Gold Medal;Oro;Beer;;maldonado;Uruguay
Aro Rojo - Mexico;;2025-07;2025;Cerveza Loba;Paraiso;American Fruit Sour Ale;American Fruit Sour Ale;American Fruit Sour Ale;Sour Ale;Gold Medal;Oro;Beer;;Guadalajara;México
Aro Rojo - Mexico;;2025-07;2025;Cerveza Loba;Paraiso;American Fruit Sour Ale;American Fruit Sour Ale;American Fruit Sour Ale;Sour Ale;Gold Medal;Oro;Beer;;Guadalajara;México
Aro Rojo - Mexico;;2025-07;2025;Cerveza Loba;Paraiso;American Fruit Sour Ale;American Fruit Sour Ale;American Fruit Sour Ale;Sour Ale;Best of Show;Plata;Beer;;Guadalajara;México
Aro Rojo - Mexico;;2025-07;2025;Fábrica de Cervezas Tarabaña;Coltán;American Imperial Stout;American Imperial Stout;Imperial Stout;Stout;Gold Medal;Oro;Beer;;Lerma;México
Aro Rojo - Mexico;;2025-07;2025;CABRONA;TERNIPURA;American Ipa;American Ipa;Ipa;Ipa;Gold Medal;Oro;Beer;;Cipolletti;Argentina
Aro Rojo - Mexico;;2025-07;2025;Cervecería Loa;Minga Loca;American India Pale Lager;American India Pale Lager;India Pale Lager;Lager;Bronce Medal;Bronce;Beer;;Quilicura;Chile
Aro Rojo - Mexico;;2025-07;2025;Lúpulos Craft Beer;West Coast Pils;American India Pale Lager;American India Pale Lager;India Pale Lager;Lager;Gold Medal;Oro;Beer;;San Pedro Sula;Honduras
Aro Rojo - Mexico;;2025-07;2025;EL FRUTO;Sin Sol no hay Corona;American Lager;American Lager;Lager;Lager;Silver Medal;Plata;Beer;;EXALTACION DE LA CRUZ;Argentina
Aro Rojo - Mexico;;2025-07;2025;Sudamericana de bebidas SRL;Cerveza 361-Sudamericana de bebidas;American Lager;American Lager;Lager;Lager;Bronce Medal;Bronce;Beer;;San Rafael;Argentina
Aro Rojo - Mexico;;2025-07;2025;bruselas bbc;Caida Libre Light Lager;American Light Lager;American Light Lager;Light Lager;Lager;Gold Medal;Oro;Beer;;Neuquen;Argentina
